#RV-8 Cruise Speed Chart - Wheel Pants OFF
# 75% power, ROP, from Test data from flights 51, 103, 104 and 107
#  TAS   Alt
# (kt)  (ft)
158.37 0
159.12 500
159.89 1000
160.66 1500
161.44 2000
162.22 2500
163.01 3000
163.81 3500
164.61 4000
165.42 4500
166.24 5000
167.06 5500
167.89 6000
168.73 6500
169.57 7000
170.42 7500
171.28 8000
172.14 8500




#TAS vs altitude for 65% power, 1800 lb weight, Wheel Pants OFF
#  TAS   Alt
# (kt)  (ft)
150.65 0
151.37 500
152.09 1000
152.82 1500
153.55 2000
154.30 2500
155.04 3000
155.80 3500
156.56 4000
157.32 4500
158.09 5000
158.87 5500
159.66 6000
160.45 6500
161.25 7000
162.05 7500
162.86 8000
163.68 8500
164.50 9000
165.33 9500
166.17 10000
167.02 10500
167.87 11000
168.73 11500
169.60 12000



#TAS vs altitude for 55% power, 1800 lb weight, Wheel Pants OFF
#  TAS   Alt
# (kt)  (ft)
142.02 0
142.69 500
143.37 1000
144.05 1500
144.74 2000
145.43 2500
146.13 3000
146.83 3500
147.54 4000
148.26 4500
148.98 5000
149.71 5500
150.44 6000
151.18 6500
151.93 7000
152.68 7500
153.43 8000
154.20 8500
154.97 9000
155.74 9500
156.53 10000
157.32 10500
158.11 11000
158.91 11500
159.72 12000
160.54 12500
161.36 13000
162.19 13500
163.02 14000
163.87 14500
164.72 15000
165.57 15500
166.44 16000
167.31 16500

#TAS vs altitude for 45% power, 1800 lb weight, Wheel Pants OFF
#  TAS   Alt
# (kt)  (ft)
132.14 0
132.76 500
133.38 1000
134.01 1500
134.64 2000
135.28 2500
135.92 3000
136.57 3500
137.22 4000
137.88 4500
138.54 5000
139.20 5500
139.88 6000
140.55 6500
141.24 7000
141.93 7500
142.62 8000
143.32 8500
144.02 9000
144.73 9500
145.45 10000
146.17 10500
146.90 11000
147.63 11500
148.37 12000
149.12 12500
149.87 13000
150.63 13500
151.39 14000
152.16 14500
152.93 15000
153.72 15500
154.50 16000
155.30 16500
156.10 17000
156.91 17500
157.72 18000
158.54 18500
159.37 19000
160.20 19500
161.04 20000
161.89 20500
162.75 21000
163.61 21500
